dow_number,lake_name,county,survey_id,survey_date,survey_type,survey_sub_type,species,gear,gear_count,total_catch,cpue,quartile_count_low,quartile_count_high,total_weight,average_weight,quartile_weight_low,quartile_weight_high
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BLB,Standard trap nets,8,41,5.12,0,.,27.2,0.66,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BRB,Standard trap nets,8,7,0.88,0,.,6.6,0.94,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,YEP,Standard trap nets,8,40,5.00,0,.,10.7,0.27,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,YEB,Standard gill nets,3,2,0.67,0,.,1.5,0.75,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,NOP,Standard gill nets,3,10,3.33,3,.,13.8,1.38,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,YEB,Standard trap nets,8,31,3.88,1,.,22.1,0.71,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,NOP,Standard trap nets,8,4,0.50,N,/,3.3,0.82,N,/
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,SHR,Standard gill nets,3,2,0.67,0,.,3.8,1.90,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,WAE,Standard gill nets,3,2,0.67,1,.,2.4,1.20,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,SHR,Standard trap nets,8,1,0.12,0,.,3,3.00,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,WTS,Standard gill nets,3,9,3.00,0,.,19.3,2.14,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BLB,Standard gill nets,3,181,60.33,1,.,117.95,0.65,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,YEP,Standard gill nets,3,28,9.33,3,.,5.5,0.20,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,WAE,Standard trap nets,8,2,0.25,0,.,8,4.00,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,LMB,Standard trap nets,8,1,0.12,0,.,0.1,0.10,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,PMK,Standard trap nets,8,78,9.75,1,.,16.1,0.21,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BLG,Standard trap nets,8,73,9.12,4,.,15.9,0.22,0,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BOF,Standard trap nets,8,9,1.12,0,.,55.7,6.19,3,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,WTS,Standard trap nets,8,1,0.12,0,.,3.5,3.50,1,.
01004000,Aitkin,Aitkin,113266,1988-07-11,Standard Survey,Population Assessment,BLC,Standard trap nets,8,14,1.75,0,.,8.6,0.61,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,BOF,Standard trap nets,12,14,1.17,0,.,0,0.00,3,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,BLG,Standard trap nets,12,96,8.00,4,.,28.9,0.30,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,YEP,Standard trap nets,12,57,4.75,0,.,17.45,0.31,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,LMB,Standard trap nets,12,1,0.08,0,.,1.4,1.40,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,BRB,Standard trap nets,12,76,6.33,0,.,45.8,0.60,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,BLC,Standard trap nets,12,15,1.25,0,.,8.75,0.58,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,NOP,Standard trap nets,12,16,1.33,N,/,14.45,0.90,N,/
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,BLB,Standard trap nets,12,2,0.17,0,.,0.7,0.35,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,WTS,Standard trap nets,12,1,0.08,0,.,2.7,2.70,1,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,WAE,Standard trap nets,12,12,1.00,0,.,27.45,2.29,1,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,PMK,Standard trap nets,12,169,14.08,1,.,40.3,0.24,0,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,SHR,Standard trap nets,12,1,0.08,0,.,1.8,1.80,1,.
01004000,Aitkin,Aitkin,113295,1989-07-11,Standard Survey,Population Assessment,YEB,Standard trap nets,12,90,7.50,1,.,49.1,0.55,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BLB,Standard trap nets,6,5,0.83,0,.,1.9,0.38,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BRB,Standard trap nets,6,3,0.50,0,.,1.8,0.60,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,YEP,Standard trap nets,6,6,1.00,0,.,1.2,0.20,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,YEB,Standard gill nets,3,11,3.67,0,.,5,0.45,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,NOP,Standard gill nets,3,20,6.67,3,.,15.3,0.77,1,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,YEB,Standard trap nets,6,19,3.17,1,.,9.9,0.52,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,NOP,Standard trap nets,6,9,1.50,N,/,3.2,0.36,N,/
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,WAE,Standard gill nets,3,2,0.67,1,.,1.5,0.75,1,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,PMK,Standard gill nets,3,6,2.00,N,/,1.8,0.30,N,/
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BOF,Standard gill nets,3,1,0.33,0,.,5.2,5.20,2,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,WTS,Standard gill nets,3,10,3.33,0,.,19.5,1.95,1,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BLB,Standard gill nets,3,1,0.33,1,.,0.5,0.50,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,YEP,Standard gill nets,3,108,36.00,3,.,24.7,0.23,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BRB,Standard gill nets,3,248,82.67,0,.,72,0.29,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,WAE,Standard trap nets,6,5,0.83,0,.,5.8,1.16,1,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,PMK,Standard trap nets,6,14,2.33,1,.,3.2,0.23,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BLG,Standard trap nets,6,1,0.17,4,.,0.1,0.10,0,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BOF,Standard trap nets,6,4,0.67,0,.,15.7,3.92,3,.
01004000,Aitkin,Aitkin,113105,1977-06-22,Standard Survey,Initial Survey,BLC,Standard trap nets,6,1,0.17,0,.,0.4,0.40,0,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,NOP,Standard gill nets,6,37,6.17,3,.,28919,1.72,1,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,BLC,Standard gill nets,6,3,0.50,1,.,339,0.25,0,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,WTS,Standard gill nets,6,5,0.83,0,.,4265,1.88,1,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,CCF,Standard gill nets,6,5,0.83,N,/,8352,3.68,N,/
